"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"sphere"	"ring_topology"	"pso_vanilla"	"(1, 2)"	"0.541786165313"	"0.541786165313"	"[ 0.72259797  0.14013686]"	"289"	"10000"
"sphere"	"neumann_topology"	"constriction_factor"	"(0.01, 0.01)"	"1.08878428847"	"1.08878428847"	"[-0.52729161  0.90041538]"	"21"	"10000"
"sphere"	"ring_topology"	"constriction_factor"	"(0.01, 0.01)"	"2.96651547959"	"2.96651547959"	"[-1.70854254 -0.21771052]"	"53"	"10000"

"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"rosenbrok"	"1"	"3"	"0.2"	"2.03757091595e-06"	"2.03757091595e-06"	"[ 1.00002176  0.9999008 ]"	"45"	"8078"
"rosenbrok"	"1"	"5"	"2.0"	"8.51015537618e-06"	"8.51015537618e-06"	"[ 1.0025865  1.0053146]"	"82"	"9623"
"rosenbrok"	"1"	"6"	"1.0"	"3.22848216084e-05"	"3.22848216084e-05"	"[ 0.99445165  0.98905659]"	"59"	"9919"
"rosenbrok"	"10"	"3"	"1.0"	"0.000227184117097"	"0.000227184117097"	"[ 1.00301631  1.0075185 ]"	"10"	"974"
"rosenbrok"	"5"	"3"	"3.0"	"0.000256619031904"	"0.000256619031904"	"[ 1.01379389  1.02696351]"	"55"	"11047"
"rosenbrok"	"1"	"5"	"0.5"	"0.000283376041305"	"0.000283376041305"	"[ 1.0166327   1.03380146]"	"63"	"5259"
"rosenbrok"	"5"	"2"	"0.2"	"0.000337050476683"	"0.000337050476683"	"[ 0.98172197  0.9639502 ]"	"30"	"5971"
"rosenbrok"	"1"	"2"	"3.0"	"0.000571729660476"	"0.000571729660476"	"[ 0.97609967  0.95269958]"	"32"	"2866"
"rosenbrok"	"5"	"4"	"2.0"	"0.00139323314814"	"0.00139323314814"	"[ 1.03732027  1.07609896]"	"63"	"5283"
"rosenbrok"	"10"	"2"	"0.2"	"0.00838258124429"	"0.00838258124429"	"[ 1.09023092  1.19015576]"	"54"	"3883"
"rosenbrok"	"10"	"4"	"2.0"	"0.0150836974953"	"0.0150836974953"	"[ 1.09296721  1.20260278]"	"82"	"6799"
"rosenbrok"	"10"	"2"	"0.5"	"0.0175411122176"	"0.0175411122176"	"[ 0.88866003  0.78254412]"	"2"	"710"
"rosenbrok"	"20"	"1"	"0.5"	"0.0316113334786"	"0.0316113334786"	"[ 1.16152396  1.35656848]"	"2"	"2109"
"rosenbrok"	"20"	"1"	"2.0"	"0.0420253481321"	"0.0420253481321"	"[ 1.16415771  1.34298408]"	"2"	"2287"
"rosenbrok"	"5"	"2"	"0.5"	"0.0464743685425"	"0.0464743685425"	"[ 0.79274829  0.63438374]"	"6"	"596"
"rosenbrok"	"20"	"1"	"3.0"	"0.0728161092994"	"0.0728161092994"	"[ 1.22841209  1.49462823]"	"2"	"2377"
"rosenbrok"	"10"	"2"	"3.0"	"0.137139234919"	"0.137139234919"	"[ 1.36611252  1.87183196]"	"16"	"1196"
"rosenbrok"	"20"	"1"	"1.0"	"0.143705085672"	"0.143705085672"	"[ 1.21264969  1.43913691]"	"2"	"1839"
"rosenbrok"	"5"	"5"	"1.0"	"0.181700546257"	"0.181700546257"	"[ 1.38304719  1.89411781]"	"0"	"469"
"rosenbrok"	"20"	"2"	"0.2"	"0.265120949579"	"0.265120949579"	"[ 1.47290982  2.14909738]"	"2"	"1518"

"Function"	"Topology"	"PSO"	"Phi"	"Score"	"Error"	"Position"	"Iter"
"rosenbrok"	"neumann_topology"	"inertia_weight"	"(1, 2)"	"3.12169473175e-07"	"3.12169473175e-07"	"[ 1.00006678  1.00018903]"	"416"	"10000"
"rosenbrok"	"full_topology"	"inertia_weight"	"(2, 1)"	"4.29859660514e-07"	"4.29859660514e-07"	"[ 0.99939727  0.9987691 ]"	"403"	"10000"
"rosenbrok"	"full_topology"	"inertia_weight"	"(1, 2)"	"2.58020158855e-06"	"2.58020158855e-06"	"[ 1.00152324  1.00299781]"	"483"	"10000"
