Function	Topology	PSO	Phi	Error	Position	Iter
rastrigin	full_topology	inertia_weight	(2.05, 2.05)	0.000349133	[ 0.00130576 -0.00023414]	459
rastrigin	ring_topology	main	(0.01, 0.01)	0.000499068	[ 0.00051623 -0.0014997 ]	300
rastrigin	full_topology	constriction_factor	(2.05, 2.05)	0.0008108382	[-0.00175626 -0.00100132]	78
rastrigin	ring_topology	inertia_weight	(0.01, 0.01)	0.0009036626	[ 0.00139323  0.00161675]	474
rastrigin	neumann_topology	main	(1, 2)	0.0010837443	[-0.00208683  0.00105254]	429
rastrigin	full_topology	main	(1, 2)	0.003023745	[-0.00135461  0.00366154]	388
rastrigin	ring_topology	constriction_factor	(1, 2)	0.0034710336	[ 0.0023753   0.00344301]	30
rastrigin	neumann_topology	main	(2, 1)	0.0045237066	[-0.00115637 -0.00463316]	81
rastrigin	neumann_topology	constriction_factor	(2.05, 2.05)	0.0051592179	[-0.0047912   0.00174681]	189
rastrigin	ring_topology	main	(2, 1)	0.011160333	[-0.00504752  0.00554812]	155
rastrigin	full_topology	constriction_factor	(2, 1)	0.0130475196	[-0.00747047  0.00315736]	27
rastrigin	full_topology	main	(2, 1)	0.0239754701	[-0.01071888  0.00244907]	387
rastrigin	ring_topology	main	(2.05, 2.05)	0.042666897	[-0.01420778  0.00365192]	35
rastrigin	ring_topology	main	(1, 2)	0.0479492552	[ 0.00519132 -0.01465923]	239
rastrigin	neumann_topology	main	(2.05, 2.05)	0.0560126542	[-0.01577697  0.00579886]	497
rastrigin	ring_topology	constriction_factor	(2, 1)	0.0628421838	[-0.01324093 -0.01189964]	3
rastrigin	neumann_topology	constriction_factor	(2, 1)	0.0913567609	[-0.01964047  0.00867427]	170
rastrigin	full_topology	main	(2.05, 2.05)	0.1083684657	[ 0.01379937 -0.01887711]	432
rastrigin	ring_topology	constriction_factor	(0.01, 0.01)	0.1324768122	[-0.01916276  0.01735739]	11
rastrigin	neumann_topology	constriction_factor	(0.01, 0.01)	0.3180574278	[ 0.03954535 -0.00688023]	25
rastrigin	full_topology	constriction_factor	(0.01, 0.01)	0.3891360017	[-0.01776     0.04068546]	19
rastrigin	ring_topology	constriction_factor	(2.05, 2.05)	0.7029624377	[-0.03894886 -0.04524918]	15
